code5,scan_date,ccass_asof_date,ccass_top10_pct,ccass_top5_pct,ccass_top10_delta,ccass_window_days,ccass_suspect_denominator,ccass_top10_pct_known,concentration_rising,hd_top10_pct_of_ccass,hd_asof_date,hd_top10_delta,dump_asof_date,dump_c10_shares,dump_issued_shares,dump_top10_pct_of_issued,dump_top10_pct_of_issued_raw,dump_top10_delta_shares,dump_window_days,dump_concentration_rising,dump_corp_action_in_window,dump_issued_missing
01141,2025-07-10,,,,,,,0,,,,,2025-07-08,380527554.0,1096968693.0,34.689,34.689,3539505.0,65.0,0.5,0,0
06898,2025-07-10,,,,,,,0,,,,,2025-07-08,431123504.0,941401000.0,45.7959,45.7959,3396000.0,65.0,0.5,0,0
01183,2025-07-10,,,,,,,0,,,,,2025-07-08,1511533062.0,3980719188.0,37.9714,37.9714,8818750.0,65.0,0.5,0,0
01862,2025-07-11,,,,,,,0,,,,,2025-07-09,1177188296.0,1538813213.0,76.4998,76.4998,-116185000.0,66.0,0.0,0,0
01803,2025-07-11,,,,,,,0,,,,,2025-07-09,1123928092.0,168961900.0,,665.1962,15655000.0,66.0,,1,0
00243,2025-07-11,,,,,,,0,,,,,2025-07-09,148264945.0,346490532.0,42.7905,42.7905,-192661.0,66.0,0.5,0,0
01049,2025-07-11,,,,,,,0,,,,,2025-07-09,28611479.0,80698181.0,35.4549,35.4549,-492164.0,66.0,0.5,0,0
00619,2025-07-11,,,,,,,0,,,,,2025-07-09,144526093.0,301277070.0,47.9712,47.9712,221600.0,66.0,0.5,0,0
00718,2025-07-11,,,,,,,0,,,,,2025-07-09,4943239146.0,5250019852.0,94.1566,94.1566,-6709460.0,66.0,0.5,0,0
08350,2025-07-11,,,,,,,0,,,,,2025-07-09,883792019.0,950064000.0,93.0245,93.0245,156880012.0,66.0,1.0,0,0
02263,2025-07-11,,,,,,,0,,,,,2025-07-09,214440000.0,1000000000.0,21.444,21.444,980000.0,66.0,0.5,0,0
00476,2025-07-11,,,,,,,0,,,,,2025-07-09,143049751.0,355649109.0,40.2222,40.2222,28321604.0,66.0,1.0,0,0
01141,2025-07-11,,,,,,,0,,,,,2025-07-09,380433554.0,1096968693.0,34.6804,34.6804,3445505.0,66.0,0.5,0,0
00212,2025-07-11,,,,,,,0,,,,,2025-07-09,23321382.0,33967738.0,68.6574,68.6574,-580500.0,66.0,0.0,0,0
00381,2025-07-11,,,,,,,0,,,,,2025-07-09,280276098.0,1330424526.0,21.0667,21.0667,9507686.0,66.0,0.5,0,0
00339,2025-07-14,,,,,,,0,,,,,2025-07-10,265182867.0,432000000.0,61.3849,61.3849,32606117.0,67.0,1.0,0,0
01561,2025-07-14,,,,,,,0,,,,,2025-07-10,710672862.0,1065454100.0,66.7014,66.7014,-3460000.0,67.0,0.5,0,0
08120,2025-07-14,,,,,,,0,,,,,2025-07-10,102425565.0,162626760.0,62.982,62.982,-3026236.0,67.0,0.0,0,0
02178,2025-07-14,,,,,,,0,,,,,2025-07-10,1117493275.0,1726674682.0,64.7194,64.7194,-3084622.0,67.0,0.5,0,0
08471,2025-07-14,,,,,,,0,,,,,2025-07-10,1019034000.0,73560000.0,,1385.31,160700000.0,67.0,,1,0
01647,2025-07-14,,,,,,,0,,,,,2025-07-10,874412500.0,1195040000.0,73.1701,73.1701,-2622500.0,67.0,0.5,0,0
01555,2025-07-14,,,,,,,0,,,,,2025-07-10,2698659953.0,3386525510.0,79.6882,79.6882,7021880.0,67.0,0.5,0,0
02159,2025-07-14,,,,,,,0,,,,,2025-07-10,194959626.0,336480000.0,57.9409,57.9409,37576000.0,67.0,1.0,0,0
03639,2025-07-14,,,,,,,0,,,,,2025-07-10,2232883751.0,2583970000.0,86.4129,86.4129,-3822000.0,67.0,0.5,0,0
02738,2025-07-14,,,,,,,0,,,,,2025-07-10,537511920.0,600000000.0,89.5853,89.5853,-4704080.0,67.0,0.5,0,0
01938,2025-07-14,,,,,,,0,,,,,2025-07-10,410226006.0,1011142000.0,40.5706,40.5706,-5970000.0,67.0,0.5,0,0
00943,2025-07-14,,,,,,,0,,,,,2025-07-10,3625576492.0,2060601229.0,,175.9475,-21893704.0,67.0,,0,0
01036,2025-07-14,,,,,,,0,,,,,2025-07-10,74627648.0,389527932.0,19.1585,19.1585,462163.0,67.0,0.5,0,0
01373,2025-07-14,,,,,,,0,,,,,2025-07-10,257387634.0,713253000.0,36.0864,36.0864,-28426988.0,67.0,0.0,0,0
01520,2025-07-14,,,,,,,0,,,,,2025-07-10,582112367.0,1048938313.0,55.4954,55.4954,98375493.0,67.0,1.0,0,0
06677,2025-07-14,,,,,,,0,,,,,2025-07-10,456379488.0,1184000000.0,38.5456,38.5456,-1374500.0,67.0,0.5,0,0
08112,2025-07-15,,,,,,,0,,,,,2025-07-11,161448116.0,229418448.0,70.3728,70.3728,251200.0,68.0,0.5,0,0
01253,2025-07-15,,,,,,,0,,,,,2025-07-11,3981324470.0,604116479.0,,659.0326,-4345721.0,68.0,,0,0
08117,2025-07-15,,,,,,,0,,,,,2025-07-11,701074482.0,1023987439.0,68.4651,68.4651,-6747342.0,68.0,0.5,0,0
08239,2025-07-15,,,,,,,0,,,,,2025-07-11,85532262.0,97768961.0,87.4841,87.4841,5822786.0,68.0,1.0,0,0
01917,2025-07-15,,,,,,,0,,,,,2025-07-11,505850930.0,2300000000.0,21.9935,21.9935,-770000.0,68.0,0.5,0,0
01949,2025-07-15,,,,,,,0,,,,,2025-07-11,665714025.0,230400000.0,,288.9384,201306000.0,68.0,,1,0
