code5,date,source_change_pct,high,prev_close,max_pct,n_max_est,t5_return_pct,t10_return_pct,t20_return_pct
01741,2026-05-13,39.30,0.3,0.201,49.2537,2.0,1.6667,-18.3333,-28.6667
01631,2026-05-13,133.33,1.33,0.57,133.3333,6.0,25.7576,8.3333,18.1818
01741,2026-05-13,51.74,0.3,0.201,49.2537,2.0,1.6667,-18.3333,-28.6667
08450,2026-05-13,64.86,0.315,0.185,70.2703,3.0,-21.6393,-22.623,-1.6393
01087,2026-05-14,26.58,1.23,0.79,55.6962,2.0,-11.3924,-11.3924,15.1899
02231,2026-05-14,46.27,0.11,0.067,64.1791,3.0,-32.5581,-34.8837,-48.8372
08527,2026-05-14,104.68,0.5,,,0.0,-38.125,-17.5,38.125
08527,2026-05-14,128.07,0.5,,,0.0,-38.125,-17.5,38.125
01741,2026-05-14,20.00,0.395,0.3,31.6667,1.0,12.963,-9.2593,-22.2222
02946,2026-05-14,43.90,,,,,,,
02946,2026-05-14,60.98,,,,,,,
01581,2026-05-14,41.18,0.59,0.34,73.5294,3.0,-15.9091,-14.7727,-26.1364
01740,2026-05-14,41.60,0.199,0.125,59.2,2.0,13.9241,20.2532,3.1646
01069,2026-05-14,21.82,0.36,0.275,30.9091,1.0,-4.7619,-11.1111,-4.7619
01581,2026-05-14,61.76,0.59,0.34,73.5294,3.0,-15.9091,-14.7727,-26.1364
01417,2026-05-14,39.53,0.68,0.215,216.2791,10.0,201.8519,203.7037,246.2963
01417,2026-05-14,55.81,0.68,0.215,216.2791,10.0,201.8519,203.7037,246.2963
01417,2026-05-14,81.40,0.68,0.215,216.2791,10.0,201.8519,203.7037,246.2963
01417,2026-05-14,109.30,0.68,0.215,216.2791,10.0,201.8519,203.7037,246.2963
08480,2026-05-14,20.00,0.24,0.18,33.3333,1.0,-3.6649,23.0366,17.801
01417,2026-05-14,179.07,0.68,0.215,216.2791,10.0,201.8519,203.7037,246.2963
01417,2026-05-14,206.98,0.68,0.215,216.2791,10.0,201.8519,203.7037,246.2963
01737,2026-05-14,46.67,0.163,0.105,55.2381,2.0,-13.3333,-4.0,16.6667
00726,2026-05-14,39.39,0.056,0.033,69.697,3.0,-13.0435,-8.6957,8.6957
08471,2026-05-15,84.09,1.74,0.88,97.7273,4.0,-56.7164,-55.2239,-61.194
06968,2026-05-15,21.74,0.179,0.138,29.7101,1.0,33.9744,23.7179,14.1026
