code5,name,scan_date,appearance_seq,days_since_first,entry_close,entry_intraday,entry_intraday_note,price_missing,days_available,ret_t5,ret_t10,ret_t20,ret_t60,max_ret_20,min_ret_20,ret_t5_est,ret_t10_est,ret_t20_est,ret_t60_est,max_ret_20_est,min_ret_20_est,has_capital_action,fu_go,fu_rights,fu_placing,fu_consolidation,fu_cb,first_action_type,first_action_days,mcap,ratio,turnover_to_mcap,has_broker_shot,ccass_asof_date,ccass_top10_pct,ccass_top5_pct,ccass_top10_delta,ccass_window_days,ccass_suspect_denominator,concentration_rising,hd_top10_pct_of_ccass,hd_asof_date,hd_top10_delta,dump_asof_date,dump_c10_shares,dump_issued_shares,dump_top10_pct_of_issued,dump_top10_pct_of_issued_raw,dump_top10_delta_shares,dump_window_days,dump_concentration_rising,dump_corp_action_in_window,dump_issued_missing,dump_top10_x_appearance,dump_top10_x_mcap,board,recurrence,prior_go_365d,prior_rights_365d,prior_rights_180d,prior_placing_365d,prior_placing_180d,prior_consolidation_365d,prior_consolidation_180d,prior_change_of_control,feature_cutoff,led_to_go_180d,led_to_perform,led_to_rights_180d
01718,宏基集團控股,2026-02-10,8,215,0.485,0.485,eod_proxy,0,140,-15.4639,-11.3402,-21.6495,-25.7732,0.0,-21.6495,0,0,0,0,0,0,0,0,0,0,0,0,,,147498200.0,10.13,2.78,0,,,,,,,,,,,,,,,,,,,0,0,unknown,unknown,,1,0,0,0,0,1,0,0,0,2026-02-10,0,False,0
01718,宏基集團控股,2026-03-16,9,249,0.445,0.445,eod_proxy,0,119,-4.4944,-13.4831,-20.2247,-16.8539,-4.4944,-21.3483,0,0,0,0,0,0,0,0,0,0,0,0,,,135333400.0,12.69,5.24,1,,,,,,,,,,,,,,,,,,,0,0,unknown,unknown,,1,0,0,0,0,1,0,0,0,2026-03-16,0,False,0
01718,宏基集團控股,2026-05-06,10,300,0.36,0.36,eod_proxy,0,86,-2.7778,-9.7222,-8.3333,127.7778,5.5556,-15.2778,0,0,0,0,0,0,0,0,0,0,0,0,,,109483200.0,18.42,1.74,0,,,,,,,,,,,,,,,,,,,0,0,unknown,unknown,,1,0,0,0,0,1,0,0,0,2026-05-06,0,True,0
01718,宏基集團控股,2026-06-15,11,340,0.37,0.37,eod_proxy,0,59,-4.0541,-1.3514,4.0541,,4.0541,-4.0541,0,0,0,0,0,0,0,0,0,0,0,0,,,112524400.0,17.09,2.62,1,,,,,,,,,,,,,,,,,,,0,0,unknown,unknown,,1,0,0,0,0,1,0,0,0,2026-06-15,0,,0
01718,宏基集團控股,2026-07-22,12,377,0.445,0.445,eod_proxy,0,34,86.5169,93.2584,68.5393,,106.7416,23.5955,0,0,0,0,0,0,0,0,0,0,0,0,,,135333400.0,11.02,1.52,1,,,,,,,,,,,,,,,,,,,0,0,unknown,unknown,,1,0,0,0,0,0,0,0,0,2026-07-22,0,,0
01718,宏基集團控股,2026-07-23,13,378,0.55,0.55,eod_proxy,0,33,47.2727,59.0909,36.3636,,67.2727,35.4545,0,0,0,0,0,0,0,0,0,0,0,0,,,167266000.0,31.69,7.28,1,,,,,,,,,,,,,,,,,,,0,0,unknown,unknown,,1,0,0,0,0,0,0,0,0,2026-07-23,0,,0
01718,宏基集團控股,2026-07-24,14,379,0.92,0.92,eod_proxy,0,32,-9.7826,-4.3478,-17.9348,,-4.3478,-19.0217,0,0,0,0,0,0,0,0,0,0,0,0,,,279790400.0,12.49,6.99,1,,,,,,,,,,,,,,,,,,,0,0,unknown,unknown,,1,0,0,0,0,0,0,0,0,2026-07-24,0,,0
01719,中國通商集團,2025-08-21,1,0,0.395,0.395,eod_proxy,0,257,-1.2658,-3.7975,-17.7215,-18.9873,0.0,-17.7215,0,0,0,0,0,0,0,0,0,0,0,0,,,681401342.0,12.4,0.12,0,,,,,,,,,,,2025-08-19,1680169612.0,1725066689.0,97.3974,97.3974,-121466.0,95.0,0.5,0,0,>=60%×1,>=60%×3-10億,,0,0,0,0,0,0,0,0,0,2025-08-21,0,False,0
01719,中國通商集團,2025-09-18,2,28,0.325,0.325,eod_proxy,0,237,0.0,1.5385,1.5385,7.6923,6.1538,-10.7692,0,0,0,0,0,0,0,0,0,0,0,0,,,560646674.0,281.28,0.2,0,,,,,,,,,,,2025-09-16,1679437612.0,1725066689.0,97.3549,97.3549,-853466.0,115.0,0.5,0,0,>=60%×2,>=60%×3-10億,,1,0,0,0,0,0,0,0,0,2025-09-18,0,True,0
01720,普天通信集團,2025-08-07,1,0,0.135,0.135,eod_proxy,0,267,-11.8519,2.2222,-4.4444,-22.2222,8.1481,-11.8519,0,0,0,0,0,0,0,0,0,0,0,0,,,148500000.0,18.6,0.79,0,,,,,,,,,,,2025-08-05,1013517140.0,1100000000.0,92.1379,92.1379,5270000.0,85.0,0.5,0,0,>=60%×1,>=60%×1-3億,,0,0,0,0,0,0,0,0,0,2025-08-07,0,False,0
01720,普天通信集團,2025-09-19,2,43,0.153,0.153,eod_proxy,0,236,7.1895,12.4183,-18.9542,-18.9542,23.5294,-20.2614,0,0,0,0,0,0,0,0,0,0,0,0,,,168300000.0,12.91,1.08,0,,,,,,,,,,,2025-09-17,1018287140.0,1100000000.0,92.5716,92.5716,10040000.0,116.0,0.5,0,0,>=60%×2,>=60%×1-3億,,1,0,0,0,0,0,0,0,0,2025-09-19,0,False,0
01720,普天通信集團,2025-11-06,3,91,0.117,0.117,eod_proxy,0,205,5.9829,7.6923,-5.9829,47.8632,7.6923,-5.9829,0,0,0,0,0,0,0,0,0,0,0,0,,,128700000.0,25.04,3.04,0,,,,,,,,,,,2025-11-04,1009931140.0,1100000000.0,91.8119,91.8119,1684000.0,147.0,0.5,0,0,>=60%×3-4,>=60%×1-3億,,1,0,0,0,0,0,0,0,0,2025-11-06,0,True,0
