"編號","名稱","資產淨值","資產淨值+ 殼價","市值","流通市值","理論價","現價","溢價/折讓","內資股(佔比)","最近3年盈利","CCASS頭5+ 非流通 ","券商數目","上市日","招股價","行業"
00954.hk,常茂生物,6.0億,9.0億,4.2千萬,4.2千萬,1.69,0.23,-86.52%,-,-2.4億,46.94%,81,2002/06/28,0.55,食品及飲料製造
06108.hk,新銳醫藥,4.2億,7.2億,4.2千萬,3.3千萬,3.61,0.24,-93.46%,-,-7.3千萬,64.7%,193,2013/10/25,0.25,保健及生物科技
08417.hk,大地教育,4.6千萬,1.5億,4.2千萬,3.1千萬,0.08,0.02,-71.13%,-,-1.5千萬,89.5%,104,2017/02/16,0.34,N/A
02147.hk,正味集團,4.5億,7.5億,4.2千萬,3.5千萬,11.22,0.70,-93.76%,-,6.1百萬,56.16%,116,2023/01/13,0.68,食品及飲料製造
08392.hk,舍圖控股,1.9千萬,1.2億,4.1千萬,4.1千萬,0.12,0.04,-66.39%,-,-1.0千萬,87.67%,96,2017/10/16,0.22,N/A
08432.hk,太平洋酒吧,2.0千萬,1.2億,4.1千萬,2.0千萬,0.14,0.05,-64.16%,-,-1.7千萬,78.88%,92,2017/01/11,0.29,N/A
08117.hk,中國基礎能源,2.0億,3.0億,4.0千萬,3.1千萬,0.30,0.04,-86.81%,-,-7.1千萬,83.34%,158,2001/12/13,0.3,N/A
08412.hk,新愛德集團,4.3百萬,1.0億,4.0千萬,1.9千萬,0.71,0.27,-62.01%,-,-1.8千萬,87.29%,105,2017/04/07,0.34,N/A
08510.hk,TOPSTANDARDCORP,-1.1千萬,8.9千萬,4.0千萬,3.3千萬,0.37,0.19,-50.22%,-,-4.8百萬,90.79%,83,2018/02/13,0.35,N/A
08210.hk,衍匯亞洲,7.4千萬,1.7億,4.0千萬,1.5千萬,0.22,0.05,-77.06%,-,2.0百萬,86.24%,93,2018/08/27,0.255,N/A
01849.hk,秀商時代控股,6.8百萬,3.1億,4.0千萬,1.9千萬,0.38,0.05,-86.96%,-,-3.5千萬,85.92%,94,2019/06/26,0.65,影視及傳媒
01915.hk,泰和小貸,10.0億,13.0億,4.0千萬,3.7千萬,2.17,0.27,-87.78%,-,-5.3百萬,83.47%,65,2017/05/08,1.34,金融證券
02433.hk,中天湖南集團,4.8億,7.8億,4.0千萬,2.9千萬,1.36,0.07,-94.84%,-,-6.1千萬,65.85%,107,2023/03/30,1.18,建築及建築材料
00079.hk,世紀建業,1.9億,4.9億,3.9千萬,1.7千萬,1.50,0.13,-91.62%,-,-7.4千萬,71.84%,143,1993/07/08,N/A,飲食酒店及旅遊
00704.hk,和嘉控股,8.8億,11.8億,3.9千萬,3.4千萬,4.08,0.13,-96.74%,-,11.8億,80.34%,192,1991/05/27,N/A,金屬及採礦
08163.hk,聲揚集團,-5.8千萬,4.2千萬,3.9千萬,3.3千萬,0.04,0.04,-6.26%,-,-6.5千萬,75.3%,179,2002/03/07,0.5,N/A
08282.hk,智傲控股,4.1千萬,1.4億,3.9千萬,3.7千萬,2.47,0.68,-72.67%,-,-3.3千萬,76.52%,78,2016/01/13,1.25,N/A
08500.hk,天泓文創,4.0千萬,1.4億,3.9千萬,3.5千萬,0.32,0.09,-71.87%,-,-1.6億,86.03%,96,2020/01/14,1.39,N/A
01195.hk,京維集團,1.1億,4.1億,3.8千萬,3.3千萬,0.14,0.01,-90.15%,-,-4.2千萬,52.57%,178,2001/05/17,0.9,地產
08331.hk,倍搏集團,1.2億,2.2億,3.8千萬,3.5千萬,1.41,0.23,-83.58%,-,-1.6千萬,86.71%,80,2015/12/29,0.32,N/A
00055.hk,中星集團控股,6.0億,9.0億,3.7千萬,3.1千萬,3.55,0.14,-95.91%,-,-2.1億,55.21%,161,1992/09/10,N/A,工業
00646.hk,中國環保科技,-6.4億,-3.4億,3.7千萬,2.6千萬,N/A,0.14,N/A,-,-1.3億,76.5%,149,2002/03/28,0.5,公用事業
01802.hk,文業集團,-8.6千萬,2.1億,3.7千萬,3.1千萬,0.26,0.04,-82.50%,-,7.7億,66.42%,114,2020/01/14,1.06,建築及建築材料
00601.hk,稀鎂科技,-8.8千萬,2.1億,3.6千萬,3.0千萬,0.36,0.06,-82.69%,-,-11.5億,69.72%,176,1993/01/28,N/A,金屬及採礦
01107.hk,當代置業,-2.7百億,-2.7百億,3.6千萬,1.2千萬,N/A,0.01,N/A,-,-2.9百億,85.01%,131,2013/07/12,1.49,地產
08130.hk,大地國際集團,-1.9億,-8.6千萬,3.6千萬,3.5千萬,N/A,0.01,N/A,-,-5.6億,72.42%,202,2002/08/26,0.3,N/A
00574.hk,百信國際,-1.8億,1.2億,3.6千萬,3.5千萬,0.06,0.02,-71.08%,-,-3.1千萬,74.45%,169,2015/06/19,1.22,保健及生物科技
08245.hk,烽翼集團,-6.4百萬,9.4千萬,3.6千萬,3.4千萬,0.32,0.14,-58.25%,-,-1.3千萬,77.01%,140,2015/09/30,0.57,N/A
08035.hk,駿高控股,1.8千萬,1.2億,3.6千萬,3.6千萬,0.20,0.06,-69.49%,-,-6.2千萬,73.42%,87,2016/10/07,0.41,N/A
08425.hk,興銘控股,9.6千萬,2.0億,3.6千萬,3.0千萬,0.52,0.10,-81.54%,-,-2.5千萬,87.43%,74,2017/03/15,0.75,N/A
08402.hk,高原之寶,N/A,N/A,3.6千萬,2.7千萬,N/A,0.07,N/A,-,-6.2百萬,69.92%,106,2017/11/17,0.54,N/A
08422.hk,ＷＴ集團,7.3千萬,1.7億,3.6千萬,3.6千萬,0.48,0.10,-78.99%,-,-2.6千萬,75.09%,106,2017/12/28,0.22,N/A
08136.hk,英馬斯集團,1.0億,2.0億,3.6千萬,1.8千萬,0.20,0.04,-82.59%,-,2.5千萬,82.15%,94,2018/01/25,0.25,N/A
08619.hk,NIU HOLDINGS,1.3億,2.3億,3.6千萬,2.5千萬,0.53,0.08,-84.65%,-,6.8千萬,74.54%,100,2018/09/17,0.2,N/A
08612.hk,維亮控股,-3.1千萬,6.9千萬,3.6千萬,2.4千萬,0.17,0.09,-49.14%,-,-8.9千萬,73.09%,106,2019/07/12,0.55,N/A
08092.hk,ITE HOLDINGS,1.9千萬,1.2億,3.5千萬,1.7千萬,0.13,0.04,-70.55%,-,4.1百萬,72.0%,99,2001/02/21,0.75,N/A
06839.hk,雲南水務,-17.1億,-14.1億,3.5千萬,3.5千萬,N/A,0.10,N/A,-,-46.7億,52.51%,171,2015/05/27,5.8,公用事業
06878.hk,鼎豐集團汽車,7.1千萬,3.7億,3.5千萬,3.5千萬,0.40,0.04,-90.63%,-,-24.4億,71.72%,185,2013/12/09,0.78,金融證券
08341.hk,艾碩控股,7.3千萬,1.7億,3.5千萬,3.4千萬,0.72,0.14,-79.88%,-,1.4千萬,68.56%,98,2017/01/13,0.84,N/A
08423.hk,CHI HO DEV,8.2千萬,1.8億,3.5千萬,1.2千萬,0.23,0.04,-83.26%,-,-2.2百萬,87.09%,77,2017/03/13,0.3,N/A
00274.hk,復興亞洲,5.3億,8.3億,3.4千萬,2.9千萬,12.15,0.49,-95.97%,-,-1.5億,70.53%,231,2000/12/18,1.0,金屬及採礦
00840.hk,天業節水,3.8億,6.8億,3.4千萬,3.3千萬,1.31,0.17,-87.40%,-,-1.1億,52.18%,121,2006/02/28,1.18,N/A
00986.hk,杜甫酒業集團,3.4千萬,3.3億,3.4千萬,3.1千萬,2.58,0.27,-89.73%,-,1.2千萬,44.0%,209,1994/02/02,1.0,零售及貿易
03683.hk,榮豐億控股,2.2千萬,3.2億,3.4千萬,3.3千萬,0.34,0.04,-89.36%,-,-1.4億,81.73%,83,2010/10/11,1.13,物流運輸
08006.hk,華泰瑞銀,3.5千萬,1.3億,3.4千萬,3.2千萬,0.37,0.09,-75.08%,-,-8.3千萬,70.75%,251,2000/03/09,1.88,N/A
08111.hk,中國科技產業集團,1.1千萬,1.1億,3.4千萬,1.2千萬,0.24,0.07,-69.19%,-,-7.5千萬,77.99%,124,2001/01/03,0.4,N/A
08178.hk,中國信息科技,2.6億,3.6億,3.4千萬,3.1千萬,2.11,0.19,-90.96%,-,-1.6億,58.56%,197,2001/12/11,0.38,N/A
08315.hk,新都酒店,4.1百萬,1.0億,3.3千萬,3.0千萬,0.18,0.06,-68.15%,-,-6.8百萬,87.75%,137,2014/08/20,0.385,N/A
08217.hk,菊福堂生物,5.0千萬,1.5億,3.3千萬,3.0千萬,0.50,0.11,-77.92%,-,-2.3千萬,58.3%,176,2016/04/12,0.26,N/A
08060.hk,國聯通信,8.0千萬,1.8億,3.2千萬,9.2百萬,0.55,0.10,-82.19%,-,-5.2百萬,88.18%,128,2002/11/13,0.36,N/A
08373.hk,靛藍星,N/A,N/A,3.2千萬,3.2千萬,N/A,0.80,N/A,-,6.1百萬,73.38%,90,2017/11/16,0.6,N/A
08621.hk,METROPOLIS CAP,1.7億,2.7億,3.2千萬,3.2千萬,0.28,0.03,-88.26%,-,-4.5千萬,77.59%,91,2018/12/12,0.39,N/A
01379.hk,温嶺工量刃具,9.3億,12.3億,3.2千萬,3.2千萬,15.37,1.60,-89.59%,-,6.4千萬,72.9%,65,2020/12/30,6.25,地產
08250.hk,都都控股,3.1億,4.1億,3.1千萬,2.1千萬,1.18,0.09,-92.49%,-,-3.0千萬,81.31%,182,2004/06/18,0.5,N/A
08337.hk,直通電訊,2.6千萬,1.3億,3.1千萬,5.3百萬,0.51,0.12,-75.70%,-,-2.7千萬,92.01%,97,2010/06/02,0.3,N/A
08366.hk,浙江聯合投資,-2.7千萬,7.3千萬,3.1千萬,3.1千萬,0.05,0.02,-54.74%,-,-2.4百萬,82.79%,94,2015/11/02,0.2,N/A
06611.hk,三巽集團,12.7億,15.7億,3.1千萬,1.1千萬,2.32,0.05,-98.02%,-,-5.5億,85.27%,98,2021/07/19,4.75,地產
08153.hk,嘉鼎國際集團,7.3千萬,1.7億,3.0千萬,2.6千萬,4.17,0.70,-83.21%,-,-8.2千萬,67.0%,190,2001/03/30,0.335,N/A
00428.hk,中國天弓控股,2.1億,5.1億,3.0千萬,2.9千萬,3.33,0.19,-94.18%,-,-1.4千萬,74.08%,182,1993/12/14,N/A,金融證券
08193.hk,亞太金融投資,6.0千萬,1.6億,2.9千萬,2.7千萬,0.57,0.11,-81.48%,-,-6.1千萬,61.34%,145,2011/05/31,0.72,N/A
08472.hk,立高控股,1.4億,2.4億,2.9千萬,2.7千萬,2.11,0.25,-88.18%,-,8.6百萬,53.85%,101,2017/07/18,0.5,N/A
08419.hk,ＡＶ策劃推廣,5.1千萬,1.5億,2.9千萬,2.9千萬,0.38,0.07,-80.69%,-,-1.6千萬,84.21%,94,2017/12/21,0.55,N/A
01542.hk,台州水務,7.6億,10.6億,2.9千萬,2.9千萬,5.32,0.58,-89.10%,-,-2.7億,91.93%,55,2019/12/31,4.22,公用事業
02608.hk,陽光１００中國,-1.1百億,-1.1百億,2.8千萬,2.7千萬,N/A,0.01,N/A,-,-1.3百億,75.25%,113,2014/03/13,4.0,地產
08112.hk,基石金融,9.4千萬,1.9億,2.8千萬,2.3千萬,0.84,0.11,-87.08%,-,-8.8千萬,78.55%,132,2011/07/28,0.72,N/A
02110.hk,天成控股,4.1千萬,3.4億,2.8千萬,2.6千萬,0.79,0.06,-92.54%,-,-1.7億,67.02%,135,2020/12/07,0.225,建築及建築材料
00073.hk,亞洲果業,1.2億,4.2億,2.7千萬,2.6千萬,28.16,1.84,-93.47%,-,-1.2億,73.86%,167,2009/11/26,N/A,食品及飲料製造
08159.hk,新華聯合投資,6.4百萬,1.1億,2.7千萬,9.6百萬,0.13,0.03,-74.29%,-,-5.8千萬,84.86%,84,2002/01/04,0.43,N/A
08420.hk,NEXION TECH,1.4千萬,1.1億,2.7千萬,2.7千萬,0.13,0.03,-76.68%,-,-2.5億,78.1%,90,2017/06/16,0.48,N/A
00176.hk,先機企業集團,-3.0千萬,2.7億,2.6千萬,2.6千萬,0.13,0.01,-90.20%,-,-4.8億,83.57%,116,1994/04/28,1.28,電子
08056.hk,生活概念,-5.8千萬,4.2千萬,2.6千萬,1.8千萬,0.37,0.23,-38.62%,-,3.0千萬,68.65%,131,2016/08/05,0.45,N/A
