"編號","名稱","資產淨值","資產淨值+ 殼價","市值","流通市值","理論價","現價","溢價/折讓","內資股(佔比)","最近3年盈利","CCASS頭5+ 非流通 ","券商數目","上市日","招股價","行業"
01552.hk,BHCC HOLDING,N/A,N/A,2.1億,6.6千萬,N/A,0.26,N/A,-,1.9千萬,91.12%,101,2017/09/12,0.5,建築及建築材料
08509.hk,威揚酒業控股,3.8億,4.8億,2.1億,2.1億,1.19,0.54,-55.00%,-,7.1千萬,91.21%,63,2018/01/12,0.75,N/A
02182.hk,天長集團,7.5億,10.5億,2.1億,5.2千萬,1.70,0.34,-80.29%,-,-4.7百萬,96.09%,76,2018/03/08,0.71,工業
01742.hk,HPC HOLDINGS,N/A,N/A,2.1億,5.0千萬,N/A,0.13,N/A,-,3.1千萬,86.87%,104,2018/05/11,0.45,建築及建築材料
01723.hk,恆月控股,3.3億,6.3億,2.1億,2.0億,1.31,0.45,-66.11%,-,1.7千萬,82.17%,118,2018/09/27,1.0,科技
01939.hk,上善黃金,2.9億,5.9億,2.1億,1.8億,1.15,0.43,-62.51%,-,-4.6千萬,68.45%,132,2018/10/11,1.5,其他
01563.hk,友聯國際教育租賃,28.7億,31.7億,2.1億,2.0億,1.88,0.12,-93.44%,-,1.8億,78.36%,145,2019/03/15,0.85,其他
01930.hk,勛龍,4.3億,7.3億,2.1億,9.7千萬,1.11,0.32,-71.53%,-,5.6千萬,89.33%,88,2019/06/28,0.88,工業
01502.hk,金融街物業,15.6億,18.6億,2.1億,1.9億,4.99,1.97,-60.54%,-,3.8億,63.7%,109,2020/07/06,7.36,地產
02215.hk,德信服務集團,5.1億,8.1億,2.1億,1.8億,0.88,0.26,-71.17%,-,-1.3億,97.09%,89,2021/07/15,3.06,地產
00757.hk,陽光能源,7.7億,10.7億,2.0億,1.6億,0.32,0.06,-81.29%,-,-4.4億,70.13%,208,2008/03/31,2.92,工業
00844.hk,廣泰國際控股,1.9億,4.9億,2.0億,1.9億,0.99,0.43,-56.26%,-,-1.2億,79.02%,91,2011/11/24,0.8,紡織及服飾製造
00928.hk,帝王國際投資,2.4億,5.4億,2.0億,1.9億,0.29,0.13,-55.69%,-,-3.2千萬,71.84%,174,2002/04/29,0.385,保健及生物科技
01446.hk,鴻福堂,2.5億,5.5億,2.0億,8.0千萬,0.84,0.31,-62.93%,-,-6.5千萬,82.11%,115,2014/07/04,1.3,食品及飲料製造
01689.hk,華禧控股,1.8億,4.8億,2.0億,6.0千萬,0.68,0.28,-58.07%,-,-1.9億,92.98%,63,2013/12/06,1.35,工業
02310.hk,時代環球集團,-3.4千萬,2.7億,2.0億,2.0億,0.24,0.19,-23.62%,-,-1.7千萬,89.03%,102,2003/07/04,1.3,地產
03903.hk,瀚華控股,86.4億,89.4億,2.0億,2.0億,1.94,0.17,-91.35%,-,1.4億,78.75%,99,2014/06/19,1.62,金融證券
08029.hk,中投金融科技集團,-8.2千萬,1.8千萬,2.0億,1.8億,0.07,0.70,959.99%,-,-5.2千萬,86.27%,111,2000/12/14,0.2,N/A
08100.hk,名科國際,1.6億,2.6億,2.0億,1.9億,0.60,0.44,-26.17%,-,-2.7千萬,92.2%,141,2001/12/31,0.32,N/A
02212.hk,高鵬礦業,5.0千萬,3.5億,2.0億,4.6千萬,0.28,0.16,-43.67%,-,-6.1千萬,90.68%,85,2015/01/09,0.88,金屬及採礦
06163.hk,彭順國際,1.3億,4.3億,2.0億,2.0億,1.55,0.64,-58.60%,-,-3.3千萬,92.66%,48,2016/11/11,1.28,工業
06033.hk,電訊數碼控股,4.4億,7.4億,2.0億,1.9億,1.84,0.49,-73.37%,-,7.9千萬,93.69%,97,2014/05/30,1.0,科技
08481.hk,盛龍錦秀國際,3.7億,4.7億,2.0億,1.0億,1.15,0.49,-57.05%,-,1.7億,94.23%,44,2017/07/17,0.68,N/A
08426.hk,雅居投資控股,1.6億,2.6億,2.0億,5.6千萬,0.33,0.24,-24.62%,-,5.7千萬,95.79%,68,2017/11/10,0.3,N/A
01975.hk,新興印刷,3.6億,6.6億,2.0億,5.0千萬,1.38,0.42,-69.50%,-,6.0百萬,90.79%,91,2017/11/16,1.38,工業
03997.hk,電訊首科,4.6千萬,3.5億,2.0億,6.5千萬,2.70,1.59,-41.08%,-,-2.3千萬,88.51%,95,2013/05/30,1.0,科技
01978.hk,敘福樓集團,2.3億,5.3億,2.0億,4.9千萬,0.67,0.24,-63.32%,-,5.8千萬,89.51%,146,2018/05/30,1.1,飲食酒店及旅遊
01582.hk,華營建築,7.2億,10.2億,2.0億,4.5千萬,2.04,0.40,-80.42%,-,1.6億,90.61%,84,2019/10/16,1.0,建築及建築材料
09608.hk,宋都服務,4.7億,7.7億,2.0億,1.9億,0.20,0.05,-74.55%,-,3.3千萬,87.63%,105,2021/01/18,0.25,地產
02125.hk,稻草熊娛樂,20.5億,23.5億,2.0億,1.7億,3.33,0.28,-91.59%,-,-1.2億,90.52%,129,2021/01/15,5.88,影視及傳媒
02455.hk,潤華服務,4.5億,7.5億,2.0億,5.5千萬,2.51,0.68,-72.87%,-,1.5億,93.26%,68,2023/01/17,1.7,地產
00180.hk,開達集團,17.4億,20.4億,1.9億,1.2億,2.14,0.20,-90.86%,-,-4.5億,80.79%,122,1985/05/24,N/A,工業
00211.hk,STYLAND HOLD,2.4億,5.4億,1.9億,1.9億,0.74,0.26,-64.97%,-,-1.4億,70.52%,254,1991/12/05,N/A,金融證券
00253.hk,順豪控股,39.6億,42.6億,1.9億,7.9千萬,14.00,0.62,-95.57%,-,-3.2億,72.06%,76,N/A,N/A,飲食酒店及旅遊
00271.hk,亞證地產,14.1億,17.1億,1.9億,7.6千萬,1.38,0.15,-88.74%,-,-2.4千萬,92.64%,187,1973/02/28,N/A,地產
00487.hk,實德環球,5.7億,8.7億,1.9億,1.0億,0.18,0.04,-77.83%,-,-1.5億,92.35%,162,1988/05/03,N/A,飲食酒店及旅遊
00499.hk,青島控股,2.5億,5.5億,1.9億,9.3千萬,0.55,0.20,-64.27%,-,-1.2億,82.07%,229,1988/07/22,N/A,地產
00725.hk,恆都集團,4.8億,7.8億,1.9億,1.9億,3.90,0.96,-75.36%,-,7.3千萬,85.72%,99,1996/12/30,1.07,電子
00876.hk,佳兆業健康,-3.2億,-2.3千萬,1.9億,1.9億,N/A,1.90,N/A,-,-8.6千萬,74.78%,157,1997/04/10,1.0,保健及生物科技
01176.hk,珠光控股,-42.7億,-39.7億,1.9億,1.6億,N/A,0.02,N/A,-,-1.1百億,83.78%,165,1996/12/09,2.88,地產
02320.hk,合豐集團,6.6億,9.6億,1.9億,8.2千萬,1.18,0.24,-79.88%,-,-2.9億,83.55%,119,2003/09/24,1.1,N/A
03363.hk,正業國際,13.1億,16.1億,1.9億,4.7千萬,3.22,0.36,-88.66%,-,3.6千萬,90.2%,86,2011/06/03,1.43,工業
08270.hk,中國煤層氣,7.9千萬,1.8億,1.9億,6.7千萬,0.46,0.47,2.73%,-,-1.0億,88.54%,124,2003/08/12,0.3,N/A
01301.hk,德基科技控股,6.3億,9.3億,1.9億,1.6億,1.49,0.30,-79.85%,-,-3.9千萬,88.29%,113,2015/05/27,2.28,建築及建築材料
01461.hk,中泰期貨,31.7億,34.7億,1.9億,1.9億,3.47,0.69,-80.24%,-,2.5億,43.01%,141,2015/07/07,3.32,金融證券
08368.hk,中國創意控股,4.9億,5.9億,1.9億,1.2億,0.85,0.28,-67.73%,-,1.2億,93.42%,96,2015/11/18,0.39,N/A
01577.hk,匯鑫小貸,15.1億,18.1億,1.9億,1.8億,2.66,1.02,-61.64%,-,0.0,96.8%,59,2016/09/30,1.68,金融證券
06877.hk,TE HEALTHCARE,2.4億,5.4億,1.9億,1.6億,0.27,0.10,-63.23%,-,1.4千萬,87.71%,113,2013/07/03,0.452,保健及生物科技
01621.hk,域高國際控股,2.5億,5.5億,1.9億,5.4千萬,0.55,0.19,-64.60%,-,2.9千萬,87.25%,107,2018/03/05,0.35,石油化工
08601.hk,寶燵控股,1.6億,2.6億,1.9億,4.8千萬,0.32,0.24,-25.93%,-,7.9千萬,96.64%,48,2018/09/13,0.4,N/A
01917.hk,豆盟科技,3.2千萬,3.3億,1.9億,5.0千萬,0.14,0.08,-43.91%,-,-4.1千萬,92.47%,121,2019/03/14,0.41,影視及傳媒
02163.hk,遠大住工,30.2億,33.2億,1.9億,1.9億,6.81,0.60,-91.19%,-,-13.0億,78.07%,128,2019/11/06,9.68,工業
01870.hk,綠色電能集團,1.4億,4.4億,1.9億,1.6億,0.43,0.18,-57.94%,-,-2.5千萬,57.72%,110,2019/11/08,0.97,公用事業
08645.hk,比特元宇宙,7.3千萬,1.7億,1.9億,1.9億,0.23,0.26,11.75%,-,-2.0千萬,88.13%,73,2019/12/09,0.4,N/A
01957.hk,大人國際,N/A,N/A,1.9億,1.1億,N/A,0.29,N/A,-,4.2千萬,82.34%,99,2020/07/08,0.8,紡織及服飾製造
01406.hk,清晰醫療,1.8億,4.8億,1.9億,1.0億,0.88,0.35,-59.88%,-,-6.5千萬,73.33%,116,2022/02/18,1.6,保健及生物科技
01111.hk,華視集團控股,4.8億,7.8億,1.9億,1.6億,1.02,0.24,-76.57%,-,2.4億,90.57%,105,2023/11/10,1.04,影視及傳媒
00139.hk,小魚盈通,9.8億,12.8億,1.8億,1.8億,0.87,0.12,-86.14%,-,-3.5億,53.75%,281,1994/03/15,1.06,金融證券
00214.hk,匯漢控股,71.9億,74.9億,1.8億,1.4億,8.90,0.22,-97.56%,-,-60.0億,84.41%,206,1986/01/06,N/A,金融證券
00243.hk,QPL INT'L,4.3億,7.3億,1.8億,1.4億,2.10,0.51,-76.00%,-,-9.7千萬,61.98%,244,1987/01/20,N/A,科技
00343.hk,文化傳信,4.3千萬,3.4億,1.8億,1.5億,0.20,0.11,-46.47%,-,-4.9千萬,59.34%,261,1986/08/12,N/A,影視及傳媒
00380.hk,中國管業,9.0億,12.0億,1.8億,1.8億,0.90,0.13,-85.15%,-,2.0億,80.18%,132,2000/12/21,1.0,建築及建築材料
00387.hk,力豐（集團）,4.3億,7.3億,1.8億,1.7億,3.15,0.77,-75.59%,-,4.8千萬,89.46%,79,2003/07/10,0.84,工業
00417.hk,謝瑞麟,5.1億,8.1億,1.8億,1.8億,3.26,0.72,-77.95%,-,-5.7億,88.46%,134,1987/06/30,N/A,零售及貿易
00620.hk,大唐西市,8.7億,11.7億,1.8億,1.4億,1.46,0.21,-85.63%,-,-3.9億,86.38%,184,1991/09/30,N/A,N/A
00632.hk,中港石油,2.8億,5.8億,1.8億,1.6億,0.61,0.19,-69.54%,-,-3.7千萬,79.36%,227,1993/04/30,N/A,石油化工
01218.hk,永義國際,12.9億,15.9億,1.8億,N/A,10.77,2.40,-77.71%,-,-9.7億,N/A,217,1995/01/30,1.0,N/A
01312.hk,華控康泰,5.5億,8.5億,1.8億,1.8億,0.15,0.03,-77.73%,-,-5.3億,84.53%,130,2012/01/18,1.0,保健及生物科技
01323.hk,華盛國際控股,9.0億,12.0億,1.8億,1.8億,1.32,0.19,-85.80%,-,-1.2億,66.3%,159,2011/01/13,1.95,建築及建築材料
01966.hk,中駿集團控股,-59.5億,-56.5億,1.8億,1.8億,N/A,0.04,N/A,-,-2.5百億,80.81%,149,2010/02/05,2.6,地產
03883.hk,中國奧園,-5.4百億,-5.4百億,1.8億,1.5億,N/A,0.04,N/A,-,-3.0百億,61.58%,274,2007/10/09,5.2,地產
08047.hk,中國海洋發展,4.7億,5.7億,1.8億,1.6億,0.08,0.03,-68.80%,-,-7.4億,61.47%,165,2001/11/01,0.4,N/A
08080.hk,北亞策略,13.9億,14.9億,1.8億,4.0千萬,3.28,0.40,-87.79%,-,-5.7千萬,92.55%,177,2000/04/20,1.08,N/A
08131.hk,諾亞智能,2.9百萬,1.0億,1.8億,1.7億,0.14,0.25,74.77%,-,-1.4千萬,67.71%,103,2001/01/31,1.2,N/A
02312.hk,ＬＯＮＧ投資集團,1.2億,4.2億,1.8億,1.6億,0.93,0.39,-58.50%,-,-2.5千萬,67.87%,210,2002/10/28,1.0,金融證券
02912.hk,永義國際,12.9億,15.9億,1.8億,8.2千萬,10.77,1.20,-88.85%,-,0.0,84.56%,217,2026/08/27,N/A,地產
01341.hk,昊天國際建投,14.2億,17.2億,1.8億,1.8億,0.16,0.02,-89.68%,-,-5.5億,77.99%,177,2015/12/10,0.48,工業
01547.hk,IBI GROUP HLDGS,1.8億,4.8億,1.8億,1.8億,0.60,0.24,-60.70%,-,8.7百萬,91.73%,84,2016/10/14,0.45,建築及建築材料
03830.hk,童園國際,1.2千萬,3.1億,1.8億,4.5千萬,0.31,0.19,-38.14%,-,-1.4千萬,86.39%,114,2017/09/21,0.48,工業
03699.hk,光大永年,11.6億,14.6億,1.8億,5.3千萬,3.31,0.41,-87.48%,-,7.0千萬,90.52%,100,2018/01/16,1.41,地產
01690.hk,立基工程控股,1.5億,4.5億,1.8億,1.1億,0.31,0.15,-51.54%,-,2.5千萬,78.27%,130,2015/09/25,0.25,建築及建築材料
01835.hk,瑞威資管,2.7億,5.7億,1.8億,1.3億,3.70,4.58,23.70%,-,-1.1億,78.2%,54,2018/11/13,5.0,金融證券
06162.hk,天瑞汽車內飾,3.4億,6.4億,1.8億,1.4億,0.27,0.08,-70.66%,-,65.0萬,60.22%,114,2019/01/15,0.25,工業
01897.hk,美亨實業,5.3億,8.3億,1.8億,6.3千萬,2.05,0.45,-78.07%,-,2.1千萬,77.42%,209,2019/03/19,N/A,建築及建築材料
02772.hk,中梁控股,4.9億,7.9億,1.8億,1.8億,0.18,0.04,-77.34%,-,-1.2百億,76.7%,139,2019/07/16,5.55,地產
01156.hk,CHINANEWENERGY,-2.3千萬,2.8億,1.8億,1.4億,0.39,0.27,-32.28%,-,-2.3億,76.55%,105,2020/07/15,0.98,工業
01408.hk,濠江機電,10.0千萬,4.0億,1.8億,9.0千萬,0.80,0.36,-54.99%,-,-4.1百萬,87.74%,109,2020/09/11,1.0,建築及建築材料
08657.hk,TRUE PARTNER,3.0千萬,1.3億,1.8億,1.8億,0.21,0.29,36.22%,-,-1.5億,97.95%,63,2020/10/16,1.4,N/A
02146.hk,榮萬家,26.8億,29.8億,1.8億,1.3億,7.92,2.00,-74.70%,-,3.9億,73.77%,93,2021/01/15,13.46,地產
02605.hk,METALIGHT,4.2億,7.2億,1.8億,1.3億,4.63,1.25,-72.98%,-,-1.9億,86.88%,129,2025/06/10,9.75,影視及傳媒
00104.hk,ASIA COMM HOLD,4.8億,7.8億,1.7億,1.4億,1.04,0.22,-78.72%,-,5.1千萬,81.86%,185,1987/07/29,N/A,零售及貿易
00118.hk,大同機械,13.0億,16.0億,1.7億,7.5千萬,1.85,0.20,-89.26%,-,-2.3千萬,84.91%,148,1988/12/12,N/A,工業
00188.hk,新華匯富金融,6.0億,9.0億,1.7億,8.3千萬,1.17,0.22,-81.35%,-,-1.7億,84.2%,159,2000/09/15,1.0,金融證券
00287.hk,永發置業,10.1億,13.1億,1.7億,1.5千萬,32.69,4.36,-86.68%,-,-1.2億,97.39%,39,N/A,N/A,地產
00475.hk,中發展控股,-3.0百萬,3.0億,1.7億,4.9千萬,0.59,0.28,-52.06%,-,-5.0千萬,82.3%,110,2007/04/17,1.5,工業
00605.hk,中國金融投資管理,9.0億,12.0億,1.7億,1.6億,5.75,0.83,-85.56%,-,-4.7千萬,63.3%,154,1993/04/07,N/A,金融證券
00701.hk,CNT GROUP,12.0億,15.0億,1.7億,3.2千萬,0.79,0.09,-88.54%,-,-2.0億,90.81%,160,1991/05/21,N/A,石油化工
00893.hk,中國鐵鈦,7.3億,10.3億,1.7億,1.1億,0.46,0.07,-83.81%,-,-1.1千萬,75.3%,218,2009/10/08,3.5,金屬及採礦
00969.hk,華聯國際,-9.5億,-6.5億,1.7億,1.7億,N/A,0.08,N/A,-,-9.5千萬,80.66%,119,2000/02/02,1.0,食品及飲料製造
01059.hk,看通集團,2.2億,5.2億,1.7億,1.3億,1.39,0.46,-66.93%,-,4.2千萬,82.49%,161,1997/01/23,N/A,科技
01628.hk,禹洲集團,1.6百億,1.6百億,1.7億,1.3億,10.74,0.11,-98.96%,-,30.1億,73.25%,203,2009/11/02,2.7,地產
02080.hk,奧克斯國際,3.0億,6.0億,1.7億,5.4千萬,1.22,0.34,-72.12%,-,4.1千萬,86.13%,102,2014/01/23,1.5,地產
08005.hk,裕興科技,15.4億,16.4億,1.7億,9.5千萬,0.66,0.07,-89.41%,-,-2.4億,77.68%,116,2000/01/31,4.2,N/A
01486.hk,思城控股,4.3億,7.3億,1.7億,5.4千萬,1.70,0.39,-77.03%,-,-9.7百萬,87.68%,94,2013/12/20,0.83,建築及建築材料
01496.hk,亞積邦租賃,2.4億,5.4億,1.7億,2.8千萬,0.62,0.19,-69.74%,-,2.3千萬,92.42%,110,2016/04/08,0.75,建築及建築材料
03395.hk,吉星新能源,N/A,N/A,1.7億,7.8千萬,N/A,0.19,N/A,-,-6.5千萬,90.64%,109,2017/03/10,3.16,石油化工
08439.hk,新百利融資,6.4千萬,1.6億,1.7億,6.7千萬,1.08,1.06,-2.13%,-,-1.7千萬,86.26%,80,2017/03/28,2.05,N/A
08040.hk,快意智能,3.5千萬,1.4億,1.7億,5.1千萬,0.40,0.51,28.10%,-,-4.1千萬,87.65%,75,2018/02/14,0.75,N/A
01715.hk,智慧健康科技,6.8千萬,3.7億,1.7億,1.3億,1.02,0.46,-55.45%,-,-1.3億,80.02%,106,2018/07/16,0.3,工業
01775.hk,精英匯集團,5.0千萬,3.5億,1.7億,4.1千萬,0.66,0.32,-51.21%,-,-7.7千萬,89.98%,85,2018/07/13,1.08,其他
01841.hk,優越集團控股,1.1億,4.1億,1.7億,1.0億,1.03,0.46,-55.25%,-,7.0百萬,82.35%,70,2016/04/19,0.3,工業
03601.hk,魯大師,7.9億,10.9億,1.7億,1.6億,4.05,0.65,-83.94%,-,1.1億,68.2%,147,2019/10/10,2.7,科技
01427.hk,中國天保集團,8.2億,11.2億,1.7億,1.0億,1.28,0.18,-85.83%,-,-3.0億,93.71%,67,2019/11/11,2.5,建築及建築材料
08646.hk,中國宏光,6.0億,7.0億,1.7億,7.1千萬,0.89,0.21,-76.89%,-,1.3億,74.73%,108,2020/01/13,0.77,N/A
00164.hk,中國寶力科技,-3.6億,-5.9千萬,1.6億,1.3億,N/A,0.47,N/A,-,-3.1千萬,68.59%,209,1973/01/26,N/A,影視及傳媒
00234.hk,新世紀集團,14.9億,17.9億,1.6億,8.7千萬,0.31,0.03,-90.61%,-,-3.3千萬,92.05%,179,1972/11/24,N/A,金融證券
00254.hk,國家聯合資源,1.4億,4.4億,1.6億,1.4億,0.65,0.24,-62.59%,-,1.3億,49.56%,231,1972/11/16,N/A,物流運輸
00375.hk,YGM TRADING,3.7億,6.7億,1.6億,1.0億,4.03,0.97,-75.80%,-,-2.9千萬,89.64%,104,1988/01/25,N/A,紡織及服飾製造
00385.hk,建聯集團,20.2億,23.2億,1.6億,3.7千萬,3.89,0.25,-93.68%,-,7.3千萬,90.03%,191,1993/10/15,N/A,建築及建築材料
00389.hk,通天酒業,1.1億,4.1億,1.6億,1.4億,1.35,0.53,-60.70%,-,-4.3億,66.79%,206,2009/11/19,1.25,食品及飲料製造
00500.hk,先豐服務集團,8.9千萬,3.9億,1.6億,1.0億,0.16,0.07,-59.83%,-,-2.6億,59.24%,232,1988/07/29,N/A,其他
00660.hk,瑋俊生物科技,-1.4億,1.6億,1.6億,7.9千萬,0.42,0.40,-6.76%,-,-7.4千萬,91.24%,149,1993/02/05,N/A,N/A
00776.hk,帝國科技集團,-1.5億,1.5億,1.6億,1.6億,0.22,0.26,19.43%,-,-8.2千萬,57.74%,123,2005/10/13,0.8,科技
01123.hk,中港照相,6.8億,9.8億,1.6億,5.4千萬,0.83,0.14,-83.13%,-,2.7千萬,82.01%,134,1994/09/19,1.8,工業
01145.hk,勇利投資,4.7億,7.7億,1.6億,1.5億,0.70,0.14,-80.09%,-,-2.0千萬,78.08%,123,2011/06/24,N/A,物流運輸
02168.hk,佳兆業美好,10.8億,13.8億,1.6億,1.6億,8.95,1.02,-88.60%,-,-4.6億,87.35%,121,2018/12/06,9.38,地產
03366.hk,華僑城（亞洲）,-21.6億,-18.6億,1.6億,4.7千萬,N/A,0.21,N/A,-,-26.7億,85.67%,104,2005/11/02,1.3,地產
03398.hk,華鼎控股,15.1億,18.1億,1.6億,4.7千萬,0.86,0.08,-90.97%,-,-9.8億,91.35%,124,2005/12/15,2.025,紡織及服飾製造
03628.hk,仁恒實業控股,1.4億,4.4億,1.6億,4.1千萬,0.55,0.20,-63.84%,-,3.5千萬,91.39%,73,2011/11/18,1.2,工業
08125.hk,榮記萬通,7.4千萬,1.7億,1.6億,6.8千萬,0.80,0.76,-6.14%,-,-3.1千萬,88.98%,121,2014/07/18,0.6,N/A
08227.hk,海天天綫,-6.8千萬,3.2千萬,1.6億,1.4億,0.02,0.25,1405.22%,-,-7.4千萬,53.63%,118,2003/11/05,0.68,N/A
08292.hk,VSING,N/A,N/A,1.6億,1.3億,N/A,0.15,N/A,-,-1.0億,82.84%,132,2016/07/06,0.35,N/A
08326.hk,同景新能源,3.7億,4.7億,1.6億,1.6億,0.39,0.13,-66.80%,-,1.0億,85.19%,92,2013/11/21,0.5,N/A
00048.hk,中國汽車內飾,2.2億,5.2億,1.6億,1.5億,1.18,0.38,-67.86%,-,3.9千萬,84.49%,157,2010/09/29,0.93,工業
00905.hk,胡桃資本,8.9千萬,3.9億,1.6億,1.4億,0.37,0.15,-59.25%,-,-2.0億,85.84%,123,1998/07/17,1.0,金融證券
01305.hk,偉志控股,9.4億,12.4億,1.6億,1.5億,5.70,0.72,-87.28%,-,1.3億,77.42%,116,2014/11/18,3.68,工業
02193.hk,萬景控股,2.6億,5.6億,1.6億,1.6億,1.33,0.39,-70.76%,-,-4.4千萬,82.01%,102,2015/07/03,0.8,建築及建築材料
02086.hk,高維科技,5.8千萬,3.6億,1.6億,1.6億,1.12,0.51,-54.41%,-,-2.1千萬,89.84%,88,2003/11/10,0.32,電子
06816.hk,瑞港建設,1.5千萬,3.2億,1.6億,1.3億,0.39,0.20,-48.98%,-,-4.9億,98.59%,74,2016/07/20,1.0,物流運輸
00436.hk,新宇環保,9.0億,12.0億,1.6億,7.9千萬,0.40,0.05,-86.61%,-,-6.9千萬,86.5%,118,2000/05/18,1.0,工業
03689.hk,康華醫療,17.6億,20.6億,1.6億,1.6億,6.15,1.90,-69.11%,-,2.6億,75.12%,75,2016/11/08,11.6,保健及生物科技
08406.hk,中國口腔產業,1.6億,2.6億,1.6億,1.1億,0.13,0.09,-36.29%,-,-8.6千萬,80.02%,105,2017/12/07,0.315,N/A
08501.hk,莊皇集團公司,1.1億,2.1億,1.6億,2.1千萬,1.04,0.80,-22.93%,-,-5.3百萬,96.58%,57,2018/01/04,1.56,N/A
01737.hk,亞洲實業集團,1.6億,4.6億,1.6億,4.0千萬,0.46,0.16,-65.87%,-,-2.2百萬,90.62%,114,2018/03/14,0.48,物流運輸
08107.hk,細葉榕科技,-2.7千萬,7.3千萬,1.6億,1.6億,0.05,0.10,85.52%,-,-1.4億,84.4%,89,2018/05/04,0.225,N/A
01620.hk,富盈環球集團,1.1千萬,3.1億,1.6億,1.5億,0.26,0.13,-48.26%,-,-3.1千萬,89.36%,90,2018/06/28,0.36,飲食酒店及旅遊
01759.hk,中油潔能控股,4.0億,7.0億,1.6億,3.9千萬,3.25,0.70,-78.45%,-,-3.2千萬,93.5%,77,2018/12/28,2.8,公用事業
01901.hk,飛揚集團,5.2千萬,3.5億,1.6億,1.1億,0.35,0.17,-51.54%,-,-9.9千萬,65.02%,96,2019/06/28,1.05,飲食酒店及旅遊
01895.hk,鑫苑服務,7.6億,10.6億,1.6億,1.4億,1.79,0.27,-84.82%,-,2.3億,76.46%,141,2019/10/11,2.08,地產
01740.hk,新石文化,7.0千萬,3.7億,1.6億,1.4億,0.36,0.17,-53.74%,-,-2.3億,81.24%,123,2020/01/16,0.5,影視及傳媒
01937.hk,佳辰控股,3.8億,6.8億,1.6億,4.5千萬,0.68,0.15,-77.96%,-,2.3千萬,86.94%,117,2020/01/17,0.53,建築及建築材料
01433.hk,常達控股,2.4億,5.4億,1.6億,4.2千萬,0.27,0.08,-70.29%,-,4.9千萬,90.49%,96,2020/03/12,0.25,工業
02459.hk,昇能集團,8.1億,11.1億,1.6億,1.5億,5.71,0.76,-86.69%,-,-6.4億,58.48%,176,2023/01/17,1.6,電子
02482.hk,維天運通,8.8億,11.8億,1.6億,1.6億,0.85,0.33,-61.70%,-,6.9千萬,97.64%,68,2023/03/09,2.9,物流運輸
00060.hk,香港食品投資,5.1億,8.1億,1.5億,1.1億,3.16,0.57,-81.98%,-,-3.8千萬,73.68%,98,1992/12/16,N/A,食品及飲料製造
00077.hk,進智公共交通,4.4千萬,3.4億,1.5億,4.1千萬,1.26,0.56,-56.10%,-,-3.6百萬,88.34%,90,2004/04/15,1.07,物流運輸
00122.hk,鱷魚恤,13.6億,16.6億,1.5億,1.5億,16.06,1.45,-90.97%,-,-2.7億,76.26%,163,1971/01/01,N/A,地產
00330.hk,思捷環球,6.1千萬,3.6億,1.5億,1.5億,1.27,0.51,-59.96%,-,-35.9億,57.0%,254,1993/12/09,N/A,紡織及服飾製造
00401.hk,萬嘉集團,1.7億,4.7億,1.5億,8.1千萬,0.41,0.13,-67.94%,-,-4.7千萬,84.84%,174,2013/10/11,N/A,保健及生物科技
00630.hk,雋泰控股,1.2億,4.2億,1.5億,1.3億,0.43,0.15,-65.36%,-,5.5千萬,77.25%,197,1996/11/28,1.05,保健及生物科技
00643.hk,恆富控股,1.1億,4.1億,1.5億,1.3億,0.45,0.16,-63.59%,-,-8.9千萬,82.18%,120,2000/03/13,1.0,紡織及服飾製造
00674.hk,中國唐商,5.2億,8.2億,1.5億,4.5千萬,0.24,0.04,-81.29%,-,-2.0億,92.71%,169,1991/01/25,N/A,地產
00684.hk,亞倫國際,6.9億,9.9億,1.5億,7.0千萬,2.98,0.45,-84.91%,-,-1.7億,74.51%,85,1992/11/10,N/A,工業
00718.hk,太和控股,-22.0億,-19.0億,1.5億,1.5億,N/A,0.03,N/A,-,-23.0億,91.75%,179,1995/10/02,1.28,地產
00983.hk,瑞安建業,19.9億,22.9億,1.5億,9.4千萬,6.12,0.39,-93.63%,-,-6.1億,78.82%,139,1997/02/03,9.3,建築及建築材料
01068.hk,雨潤食品,-8.2億,-5.2億,1.5億,1.5億,N/A,0.08,N/A,-,-2.6億,55.25%,217,2005/10/03,3.7,食品及飲料製造
01105.hk,星島,15.6億,18.6億,1.5億,1.2億,2.11,0.17,-91.72%,-,-2.1億,64.36%,165,1996/07/10,1.0,影視及傳媒
01163.hk,虎視傳媒,2.3億,5.3億,1.5億,6.6千萬,0.59,0.16,-72.24%,-,-1.0千萬,91.25%,86,2020/07/10,0.86,影視及傳媒
01206.hk,同方泰德,24.7億,27.7億,1.5億,1.1億,3.54,0.20,-94.35%,-,-9.4億,61.84%,101,2011/10/27,1.0,科技
02078.hk,榮陽實業,6.6億,9.6億,1.5億,3.8千萬,0.80,0.13,-84.19%,-,-2.9百萬,84.69%,169,2013/02/05,4.13,金屬及採礦
01395.hk,強泰環保,2.8億,5.8億,1.5億,9.8千萬,0.52,0.14,-74.04%,-,4.3百萬,86.16%,149,2014/09/26,0.55,公用事業
00442.hk,域能控股,1.2億,4.2億,1.5億,1.3億,1.61,0.57,-64.70%,-,-2.6千萬,83.3%,82,2015/03/11,3.0,零售及貿易
02699.hk,新明中國,-1.9百億,-1.9百億,1.5億,1.2億,N/A,5.61,N/A,-,-14.0億,67.17%,129,2015/07/06,1.43,地產
