scan_date,code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
2026-08-28,00370,370.HK,港仔機器人,0.28,3.7,15219166,881002916,881002916,1137264,13.38,1.73,10,0,0,2026-09-08 07:26:44
2026-08-28,00505,505.HK,興業合金,1.02,15.91,601850,917549336,917549336,17962,33.51,0.07,10,0,0,2026-09-08 07:26:44
2026-08-31,08139,8139.HK,長安仁恆,1.29,-24.12,517092,49536000,49536000,48467,10.67,1.04,10,0,0,2026-09-08 07:26:46
2026-08-31,08072,8072.HK,蘭谷股份,0.3,-7.69,974400,50504740,50504740,26083,37.36,1.93,10,0,0,2026-09-08 07:26:46
2026-08-31,02246,2246.HK,快狗打車,1.2,-1.64,603720,79225530,79225530,41701,14.48,0.76,10,0,0,2026-09-08 07:26:46
2026-08-31,00261,261.HK,GBA集團,0.265,1.92,664410,87810845,87810845,46476,14.3,0.76,10,0,0,2026-09-08 07:26:45
2026-08-31,01850,1850.HK,美好生活集團控股,0.61,7.02,27041150,105408000,105408000,1617658,16.72,25.65,10,0,0,2026-09-08 07:26:45
2026-08-31,00913,913.HK,港灣數字,0.183,3.98,512552,162329242,162329242,16449,31.16,0.32,10,0,0,2026-09-08 07:26:45
2026-08-31,01312,1312.HK,華控康泰,0.036,9.09,607596,201188584,201188584,48917,12.42,0.3,10,0,0,2026-09-08 07:26:45
2026-08-31,01690,1690.HK,立基工程控股,0.156,20.0,719510,225455880,225455880,7484,96.14,0.32,10,0,0,2026-09-08 07:26:45
2026-08-31,01939,1939.HK,上善黃金,0.48,20.0,927660,245702400,245702400,92261,10.05,0.38,10,0,0,2026-09-08 07:26:46
2026-08-31,00970,970.HK,新耀萊,0.365,2.82,2045460,246507192,246507192,190518,10.74,0.83,10,0,0,2026-09-08 07:26:45
2026-08-31,01813,1813.HK,合景泰富集團,0.093,-7.0,782833,317956207,317956207,63257,12.38,0.25,10,0,0,2026-09-08 07:26:45
2026-08-31,00897,897.HK,位元堂,0.34,15.25,562675,378890182,378890182,33532,16.78,0.15,10,0,0,2026-09-08 07:26:45
2026-08-31,00236,236.HK,香港生力啤,1.08,-0.92,654470,403456205,403456205,13056,50.13,0.16,10,0,0,2026-09-08 07:26:45
2026-08-31,02226,2226.HK,老恆和釀造,0.715,19.17,799395,413806250,413806250,20448,39.09,0.19,10,0,0,2026-09-08 07:26:46
2026-08-31,00021,21.HK,大中華控股,0.109,32.93,2484693,433300441,433300441,172947,14.37,0.57,10,0,0,2026-09-08 07:26:45
2026-08-31,08229,8229.HK,未來數據集團,0.83,-1.78,963575,461048400,461048400,92692,10.4,0.21,10,0,0,2026-09-08 07:26:46
2026-08-31,01861,1861.HK,保寶龍科技,2.1,-4.11,1237840,491226225,491226225,49583,24.97,0.25,10,0,0,2026-09-08 07:26:45
